country,created_at,total_tweets,total_unique_user_ids,Population,total_tweets_per_pop,unique_user_per_pop
Papua New Guinea,all,37,23,8975531,0.412231878,0.256252248
Paraguay,all,1214,336,7147553,16.98483383,4.700909528
China,all,1567,390,1440297825,0.108796943,0.027077733
Peru,all,3033,825,33050211,9.176945951,2.496201915
Poland,all,1131,331,37839255,2.988959481,0.874752952
Portugal,all,847,325,10191409,8.310921483,3.188960427
Puerto Rico,all,23,14,2846860,0.80790766,0.49176988
Qatar,all,719,228,2889284,24.88505803,7.891228415
Republic of Belarus,all,50,33,9448772,0.529169293,0.349251733
Republic of Croatia,all,188,89,4100719,4.584561878,2.170351102
South Korea,all,283,127,51276977,0.55190461,0.247674507
Mauritius,all,62,30,1272140,4.873677425,2.358231012
Mozambique,all,64,30,31398811,0.203829374,0.095545019
Serbia,all,527,175,8731081,6.03590781,2.004333713
Slovenia,all,157,53,2078989,7.551747508,2.549316038
Philippines,all,2989,1122,109830324,2.72147062,1.02157579
Romania,all,169,64,19214608,0.879539151,0.333079915
Russia,all,826,395,145945524,0.565964599,0.270648931
Rwanda,all,623,170,13005303,4.790353597,1.307159087
Saint Barthélemy,all,1,1,9882,10.11940903,10.11940903
Saint Kitts and Nevis,all,8,5,53264,15.01952538,9.387203364
Saint Lucia,all,13,8,183774,7.073905993,4.353172919
Saint Martin,all,7,4,38778,18.05147248,10.31512713
Saint Pierre and Miquelon,all,3,1,5789,51.82242183,17.27414061
Saint Vincent and the Grenadines,all,5,2,111002,4.504423344,1.801769337
Samoa,all,2,1,198643,1.006831351,0.503415675
San Marino,all,2,1,33944,5.892057506,2.946028753
Senegal,all,556,156,16816539,3.306268906,0.927658182
Seychelles,all,20,8,98453,20.31426163,8.125704651
Sierra Leone,all,281,53,8004158,3.510675326,0.662155844
Singapore,all,973,421,5858322,16.60885148,7.186358141
Sint Maarten,all,13,9,42960,30.26070764,20.94972067
Slovak Republic,all,79,30,,0,0
Solomon Islands,all,13,6,689671,1.88495674,0.869980034
Somalia,all,424,126,15965848,2.655668524,0.789184514
South Africa,all,8260,2628,59436725,13.89713178,4.421508756
Spain,all,27770,7685,46757980,59.39093177,16.43569718
Sri Lanka,all,1796,351,21428970,8.381177443,1.637969534
Sudan,all,2,2,44019263,0.004543465,0.004543465
Suriname,all,12,6,587541,2.042410657,1.021205329
Swaziland,all,66,33,,0,0
Sweden,all,809,356,10110233,8.001793826,3.521184922
Switzerland,all,1755,625,8665615,20.25245756,7.21241366
Syria,all,56,29,17571053,0.318705999,0.165044178
Taiwan,all,365,159,23824369,1.532044773,0.667383887
Tajikistan,all,10,6,9573310,0.104457079,0.062674247
Tanzania,all,960,303,60012400,1.599669402,0.504895655
Thailand,all,3943,1125,69830779,5.646507251,1.611037448
The Netherlands,all,4027,1769,,0,0
Togo,all,105,50,8310934,1.263395907,0.601617099
Tonga,all,1,1,105901,0.944278147,0.944278147
Trinidad and Tobago,all,182,81,1400283,12.99737267,5.784544981
Tunisia,all,150,62,11839918,1.266900666,0.523652275
Turkey,all,11866,4082,84495243,14.04339414,4.831041198
Turkmenistan,all,3,3,6046292,0.049617187,0.049617187
Turks and Caicos Islands,all,8,5,17141544,0.046670242,0.029168901
Uganda,all,2073,595,45974931,4.508979035,1.294183563
Ukraine,all,177,97,43686577,0.405158775,0.222036165
United Arab Emirates,all,2123,937,9910892,21.42087715,9.454244885
United Kingdom,all,51181,17635,67948282,75.3234644,25.95356274
United States of America,all,153654,47349,331341050,46.37336666,14.29010984
Uruguay,all,739,305,3475842,21.26103546,8.774852252
Uzbekistan,all,20,16,33551824,0.059609278,0.047687422
Vanuatu,all,14,6,308337,4.540486546,1.945922805
Vatican City,all,25,14,,0,0
Venezuela,all,2881,877,28421581,10.1366634,3.085683376
Vietnam,all,267,86,97490013,0.273874207,0.088214164
"Virgin Islands, U.S.",all,10,6,104398,9.578727562,5.747236537
Yemen,all,23,17,29935468,0.076831937,0.056788823
Zambia,all,240,102,18468257,1.299527075,0.552299007
Zimbabwe,all,508,161,14899771,3.409448373,1.08055352
