country,created_at,total_tweets,total_unique_user_ids
Australia,7,230,176
Ecuador,16,230,152
Pakistan,11,230,148
Ireland,14,229,184
Ecuador,15,228,141
Australia,16,227,172
Ireland,2,227,179
Argentina,19,226,173
Australia,9,226,179
South Africa,24,226,172
Germany,24,225,174
Ireland,19,225,175
South Africa,7,225,155
Turkey,30,225,169
Chile,29,224,155
Germany,29,224,156
Ireland,24,224,194
Australia,18,222,156
Colombia,27,222,168
Argentina,27,221,166
Argentina,28,221,175
Ireland,25,221,181
Pakistan,26,221,150
Australia,17,220,172
Australia,29,220,163
Ireland,9,220,179
Germany,19,219,175
Colombia,19,217,161
Germany,20,217,158
Germany,22,217,167
South Africa,22,216,160
Ecuador,8,214,128
Germany,11,213,158
Colombia,30,211,158
Germany,9,211,144
Germany,21,211,171
Australia,15,210,173
Germany,26,210,172
Ireland,7,210,169
Ecuador,9,209,134
Germany,7,208,158
Pakistan,25,208,138
Colombia,20,207,160
Colombia,21,206,162
Ecuador,7,205,139
South Africa,30,205,137
Argentina,30,204,163
Turkey,28,204,150
Chile,30,203,137
Ecuador,25,203,142
Germany,10,203,149
Pakistan,15,203,146
Chile,22,202,158
Colombia,22,202,160
South Africa,13,202,142
Turkey,22,202,144
Ecuador,14,201,120
Australia,10,200,158
Ireland,3,200,171
Pakistan,14,199,140
South Africa,11,199,132
Germany,25,198,161
Ireland,27,198,151
Nigeria,13,198,151
Pakistan,8,196,135
Ireland,15,195,164
Australia,20,194,153
Colombia,10,194,143
Ireland,23,194,167
Turkey,29,194,145
Ireland,22,193,165
Ecuador,10,192,117
Germany,30,190,139
Australia,28,189,140
Colombia,28,189,148
Chile,27,188,131
Pakistan,23,188,128
Australia,24,186,142
Australia,27,186,145
South Africa,19,185,137
South Africa,28,184,141
Australia,21,182,146
Pakistan,22,182,112
Chile,28,181,137
Australia,11,180,141
Australia,22,180,156
Germany,23,180,148
Ecuador,11,179,122
Ireland,18,179,141
Pakistan,19,178,128
Ecuador,19,177,100
Ecuador,12,176,127
Germany,28,176,146
Ireland,21,176,149
Germany,12,175,111
Pakistan,20,175,124
Ecuador,24,173,123
Ecuador,18,172,116
Ecuador,29,172,105
Germany,14,170,127
South Africa,20,170,131
Pakistan,30,169,94
Turkey,23,169,129
Ecuador,28,167,112
